2.0,4.0 || -53, -61, -58, -58, -61 || -56, -64, -61, -61, -64 || -54, -62, -59, -59, -62 || -59, -67, -64, -64, -67 || -56, -65, -61, -62, -65 || -60, -68, -65, -65, -68
6.0,0.0 || -60, -59, -58, -61, -63 || -66, -64, -63, -68, -69 || -44, -44, -43, -47, -48 || -59, -55, -54, -59, -60 || -64, -62, -62, -67, -67 || -65, -64, -66, -67, -68
2.0,6.0 || -61, -56, -60, -70, -63 || -58, -54, -57, -67, -60 || -61, -57, -60, -67, -63 || -64, -60, -63, -74, -67 || -59, -54, -58, -68, -61 || -63, -59, -63, -73, -66
10.0,6.0 || -64, -60, -62, -66, -64 || -64, -60, -61, -66, -64 || -61, -57, -58, -63, -61 || -59, -55, -56, -61, -59 || -59, -55, -57, -61, -59 || -55, -51, -53, -57, -55
2.0,10.0 || -63, -70, -65, -61, -65 || -50, -56, -51, -47, -52 || -64, -70, -65, -61, -66 || -65, -71, -67, -63, -67 || -53, -59, -54, -50, -55 || -61, -67, -63, -59, -63
4.0,8.0 || -63, -65, -67, -59, -60 || -57, -59, -61, -53, -54 || -62, -64, -66, -58, -59 || -64, -62, -68, -60, -61 || -54, -53, -55, -48, -48 || -60, -62, -64, -56, -57
8.0,0.0 || -63, -67, -68, -63, -68 || -67, -71, -73, -67, -72 || -54, -59, -60, -56, -59 || -51, -55, -57, -51, -56 || -65, -69, -71, -65, -70 || -65, -69, -70, -65, -70
4.0,4.0 || -57, -61, -59, -65, -67 || -58, -62, -60, -66, -69 || -54, -57, -55, -61, -64 || -58, -62, -60, -66, -69 || -57, -61, -58, -65, -68 || -60, -64, -61, -67, -70
4.0,10.0 || -72, -62, -62, -60, -66 || -63, -55, -55, -52, -58 || -71, -62, -63, -60, -66 || -73, -63, -64, -61, -67 || -52, -43, -43, -40, -46 || -67, -57, -58, -55, -61
0.0,6.0 || -64, -67, -57, -62, -57 || -60, -62, -56, -59, -54 || -66, -68, -65, -64, -59 || -69, -72, -64, -68, -63 || -64, -66, -59, -63, -58 || -69, -71, -63, -67, -62
0.0,4.0 || -54, -55, -60, -57, -58 || -58, -58, -63, -61, -62 || -58, -58, -64, -61, -62 || -63, -63, -68, -66, -67 || -60, -60, -65, -63, -64 || -63, -64, -69, -66, -68
8.0,8.0 || -67, -70, -66, -63, -66 || -64, -67, -63, -60, -63 || -65, -67, -63, -60, -63 || -64, -67, -63, -60, -63 || -57, -60, -56, -53, -56 || -55, -58, -54, -51, -54
6.0,8.0 || -64, -61, -63, -68, -67 || -60, -57, -59, -64, -63 || -62, -59, -61, -63, -66 || -63, -60, -64, -67, -66 || -53, -48, -50, -55, -55 || -57, -54, -56, -61, -60
4.0,0.0 || -60, -60, -58, -53, -55 || -70, -68, -66, -62, -64 || -50, -49, -47, -43, -44 || -65, -64, -61, -57, -59 || -70, -69, -66, -61, -63 || -71, -70, -67, -62, -64
6.0,2.0 || -65, -63, -60, -60, -58 || -69, -67, -64, -64, -62 || -56, -54, -51, -51, -49 || -62, -60, -57, -57, -55 || -67, -65, -62, -62, -60 || -68, -62, -63, -63, -61
6.0,10.0 || -71, -62, -67, -62, -64 || -65, -56, -62, -56, -59 || -70, -60, -66, -61, -63 || -70, -61, -67, -61, -64 || -50, -41, -47, -41, -44 || -62, -53, -58, -53, -55
0.0,2.0 || -55, -50, -53, -52, -47 || -67, -62, -64, -64, -59 || -63, -58, -61, -61, -56 || -69, -64, -67, -66, -61 || -68, -63, -66, -66, -60 || -71, -66, -69, -68, -63
10.0,0.0 || -68, -65, -60, -68, -63 || -71, -68, -63, -71, -66 || -62, -59, -54, -62, -58 || -28, -25, -20, -28, -23 || -69, -66, -61, -69, -64 || -68, -65, -62, -68, -63
2.0,2.0 || -54, -59, -54, -52, -53 || -63, -69, -61, -61, -62 || -56, -61, -56, -54, -55 || -63, -64, -63, -61, -62 || -64, -69, -63, -61, -62 || -66, -71, -65, -64, -65
