0.0,0.0 ||  -27, -30, -29, -25, -23 ||  -67, -70, -68, -65, -63 ||  -61, -65, -63, -59, -57 ||  -67, -71, -68, -65, -63 ||  -68, -71, -69, -66, -64 ||  -70, -73, -72, -68, -66
0.0,1.0 ||  -41, -40, -41, -38, -35 ||  -67, -66, -66, -64, -61 ||  -62, -61, -62, -60, -56 ||  -68, -67, -67, -65, -62 ||  -68, -67, -67, -66, -62 ||  -70, -69, -70, -68, -64
0.0,2.0 ||  -55, -50, -53, -52, -47 ||  -67, -62, -64, -64, -59 ||  -63, -58, -61, -61, -56 ||  -69, -64, -67, -66, -61 ||  -68, -63, -66, -66, -60 ||  -71, -66, -69, -68, -63
0.0,3.0 ||  -54, -52, -56, -54, -52 ||  -62, -60, -63, -62, -60 ||  -60, -58, -62, -61, -59 ||  -66, -63, -67, -66, -64 ||  -64, -61, -65, -64, -62 ||  -67, -65, -69, -67, -65
0.0,4.0 ||  -54, -55, -60, -57, -58 ||  -58, -58, -63, -61, -62 ||  -58, -58, -64, -61, -62 ||  -63, -63, -68, -66, -67 ||  -60, -60, -65, -63, -64 ||  -63, -64, -69, -66, -68
0.0,5.0 ||  -59, -61, -58, -59, -57 ||  -59, -60, -59, -60, -58 ||  -62, -63, -64, -62, -60 ||  -66, -67, -66, -67, -65 ||  -62, -63, -62, -63, -61 ||  -66, -67, -66, -66, -65
0.0,6.0 ||  -64, -67, -57, -62, -57 ||  -60, -62, -56, -59, -54 ||  -66, -68, -65, -64, -59 ||  -69, -72, -64, -68, -63 ||  -64, -66, -59, -63, -58 ||  -69, -71, -63, -67, -62
0.0,7.0 ||  -63, -63, -58, -60, -60 ||  -55, -55, -51, -53, -53 ||  -65, -65, -66, -62, -62 ||  -68, -69, -64, -65, -65 ||  -61, -61, -58, -59, -59 ||  -67, -67, -63, -64, -64
0.0,8.0 ||  -63, -60, -60, -59, -64 ||  -51, -49, -47, -48, -53 ||  -64, -62, -67, -61, -66 ||  -67, -66, -64, -63, -68 ||  -59, -57, -58, -56, -61 ||  -65, -63, -64, -62, -66
0.0,9.0 ||  -66, -62, -63, -62, -64 ||  -35, -36, -36, -36, -39 ||  -62, -63, -68, -63, -66 ||  -64, -66, -67, -65, -68 ||  -56, -57, -59, -57, -60 ||  -62, -63, -65, -63, -65
0.0,10.0 ||  -69, -64, -67, -65, -65 ||  -19, -24, -25, -25, -25 ||  -60, -65, -69, -66, -66 ||  -62, -67, -70, -68, -68 ||  -53, -58, -61, -59, -59 ||  -59, -64, -67, -65, -65
1.0,0.0 ||  -41, -40, -39, -37, -40 ||  -68, -67, -66, -64, -67 ||  -59, -60, -58, -56, -58 ||  -67, -67, -65, -64, -66 ||  -68, -68, -66, -65, -67 ||  -70, -70, -69, -67, -69
1.0,1.0 ||  -47, -47, -46, -44, -45 ||  -66, -66, -64, -63, -63 ||  -59, -59, -58, -57, -57 ||  -66, -65, -65, -64, -63 ||  -67, -67, -65, -64, -64 ||  -69, -69, -68, -66, -66
1.0,2.0 ||  -54, -54, -53, -52, -50 ||  -65, -65, -62, -62, -60 ||  -59, -59, -58, -57, -55 ||  -66, -64, -65, -63, -61 ||  -66, -66, -64, -63, -61 ||  -68, -68, -67, -66, -64
1.0,3.0 ||  -54, -56, -56, -54, -54 ||  -61, -63, -62, -61, -61 ||  -57, -59, -60, -58, -58 ||  -63, -64, -65, -64, -64 ||  -62, -64, -63, -63, -62 ||  -65, -67, -67, -65, -66
